Issue id,Issue Type,Issue key,Summary,Assignee,Priority,Status,Created,Updated,ts,Reporter,Sprint,story,epic_link,Team,Parent id,Labels
2743403,Sub-task,EEEFI-531,PO/PSE Demo,C84649B,Minor,Done,2023-Feb-08 3:55 PM,2023-Feb-16 1:34 PM,1800,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2743194,
2743199,Sub-task,EEEFI-527,Dev & Dev Testing,C84649B,Minor,Done,2023-Feb-08 3:55 PM,2023-Feb-16 1:32 PM,21600,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2743194,
2743194,Story,EEEFI-525,Maint Issue - Export PDFs By Date Range Setup Not Working Properly,C84649B,Minor,Done,2023-Feb-08 3:43 PM,2023-Feb-16 1:34 PM,23400,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,1,EEEFI-235,,,
2727768,Sub-task,EEEFI-365,BA Demo,C84708B,Minor,Done,2023-Feb-02 11:25 AM,2023-Feb-16 10:17 AM,1800,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2725945,
2727764,Sub-task,EEEFI-363,QA / Testing,C84708B,Minor,Done,2023-Feb-02 11:25 AM,2023-Feb-15 5:44 PM,10800,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2725945,
2727762,Sub-task,EEEFI-362,QA Test Plan Review,C86393B,Minor,Done,2023-Feb-02 11:25 AM,2023-Feb-17 11:06 AM,1800,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2725945,
2727760,Sub-task,EEEFI-361,QA Test Plan Create,C84708B,Minor,Done,2023-Feb-02 11:24 AM,2023-Feb-16 5:53 PM,3600,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2725945,
2727759,Sub-task,EEEFI-360,Dev and Dev Testing,C84649B,Minor,Done,2023-Feb-02 11:24 AM,2023-Feb-14 12:59 PM,28800,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2725945,
2725945,Story,EEEFI-357,Victoria's Secret (Beta)- Request to have BBW companies Removed from drop-down menus on two custom reports (beta-vsco site),C84649B,Minor,Done,2023-Feb-01 8:34 PM,2023-Feb-27 8:49 AM,46800,C84618B,Eforms-I9 P6 Sprint 1 - Yellow,1,EEEFI-235,,,
2748417,Sub-task,EEEFI-576,QA Testing - T1 - QTS Regression ,C84708B,Minor,Done,2023-Feb-10 4:48 PM,2023-Feb-10 4:59 PM,12600,C84708B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2736315,
2748374,Sub-task,EEEFI-575,T1 Testing - QA assist,C84649B,Minor,Done,2023-Feb-10 4:13 PM,2023-Feb-10 4:58 PM,10800,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2736315,
2736315,Story,EEEFI-480,QA Only - Queue Transaction Service - Improve individual user performance,C84649B,Minor,Done,2023-Feb-06 1:01 PM,2023-Feb-16 1:29 PM,23400,C84642B,Eforms-I9 P6 Sprint 1 - Yellow,1,EEEFI-235,,,
2758051,Sub-task,EEEFI-626,Dev & Dev Testing,C84734B,Minor,Done,2023-Feb-15 11:53 AM,2023-Feb-15 2:55 PM,10800,C84734B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2747873,
2755786,Sub-task,EEEFI-613,PO / PSE Demo,C84734B,Minor,Done,2023-Feb-14 5:07 PM,2023-Feb-15 11:53 AM,1800,C84734B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2747873,
2747875,Sub-task,EEEFI-572,Dev Research,C84734B,Minor,Done,2023-Feb-10 12:51 PM,2023-Feb-14 5:34 PM,57600,C84734B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2747873,
2747873,Story,EEEFI-571,Prod Support - Non-Form Locals Not Initiating,C84734B,Minor,Done,2023-Feb-10 12:45 PM,2023-Feb-21 10:08 AM,70200,C84642B,Eforms-I9 P6 Sprint 1 - Yellow,3,EEEFI-235,,,
2761214,Sub-task,EEEFI-675,Dev,C84649B,Minor,Done,2023-Feb-16 1:53 PM,2023-Feb-17 9:51 PM,32400,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2761207,
2761207,Story,EEEFI-672,Veracode and Pentest Mitigation - AuthorizedRepresentativeAPI,C84649B,Minor,Done,2023-Feb-16 1:48 PM,2023-Feb-17 9:52 PM,32400,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,5,EEEFI-189,,,
2758209,Sub-task,EEEFI-627,Dev,C84649B,Minor,Done,2023-Feb-15 12:10 PM,2023-Feb-16 9:31 AM,28800,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2692536,
2734779,Sub-task,EEEFI-478,Dev,C84683B,Minor,Done,2023-Feb-06 11:40 AM,2023-Feb-17 8:26 AM,,C84684B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2692536,
2692536,Story,EEEFI-191,Veracode and Pentest Mitigation - Realtime Part 1,C84649B,Minor,Done,2023-Jan-26 2:22 PM,2023-Mar-07 10:04 AM,28800,C84642B,Eforms-I9 P6 Sprint 1 - Yellow,8,EEEFI-189,,,
2743240,Sub-task,EEEFI-524,Dev Research,C84649B,Minor,Done,2023-Feb-08 2:30 PM,2023-Feb-16 9:31 AM,25200,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2696023,
2696023,Story,EEEFI-217,Veracode and Pentest Mitigation - Taleo,C84649B,Minor,Done,2023-Jan-27 3:12 PM,2023-Feb-16 1:55 PM,25200,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,3,EEEFI-189,,,
2738873,Sub-task,EEEFI-504,Dev Research,C84649B,Minor,Done,2023-Feb-07 10:03 AM,2023-Feb-09 4:25 PM,36000,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2728293,
2738872,Sub-task,EEEFI-503,Dev,C84649B,Minor,Done,2023-Feb-07 10:02 AM,2023-Feb-16 9:30 AM,,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2728293,
2728293,Story,EEEFI-375,Veracode and Pentest Mitigation - EForm Completion Service,C84649B,Major,Done,2023-Feb-02 1:33 PM,2023-Feb-16 1:51 PM,36000,C84671B,Eforms-I9 P6 Sprint 1 - Yellow,8,EEEFI-189,,,
2739201,Sub-task,EEEFI-507,Dev Research,C84734B,Minor,Done,2023-Feb-07 10:46 AM,2023-Feb-21 10:03 AM,46800,C84734B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2696011,
2734499,Sub-task,EEEFI-469,Dev,C84734B,Minor,Done,2023-Feb-06 10:53 AM,2023-Feb-14 12:46 PM,7200,C84684B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2696011,
2696011,Story,EEEFI-216,Veracode and Pentest Mitigation - EFormPackager,C84734B,Minor,Done,2023-Jan-27 3:02 PM,2023-Feb-21 10:03 AM,54000,C84734B,Eforms-I9 P6 Sprint 1 - Yellow,8,EEEFI-189,,,
2734497,Sub-task,EEEFI-468,Dev,C84671B,Minor,Done,2023-Feb-06 10:52 AM,2023-Feb-10 5:01 PM,,C84684B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2715411,
2734466,Sub-task,EEEFI-460,Dev Research,C84671B,Minor,Done,2023-Feb-06 10:31 AM,2023-Feb-10 5:01 PM,21600,C84642B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2715411,
2715411,Story,EEEFI-246,Veracode and Pentest Mitigation - File Processing Service,C84671B,Major,Done,2023-Jan-31 4:04 PM,2023-Feb-10 5:01 PM,21600,C84671B,Eforms-I9 P6 Sprint 1 - Yellow,1,EEEFI-189,,,
2738869,Sub-task,EEEFI-502,Dev Research,C84649B,Minor,Done,2023-Feb-07 10:01 AM,2023-Feb-13 5:43 PM,46800,C84649B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2692535,
2734493,Sub-task,EEEFI-467,Dev,C84649B,Minor,Done,2023-Feb-06 10:51 AM,2023-Feb-16 9:30 AM,,C84684B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2692535,
2692535,Story,EEEFI-190,Veracode and Pentest Mitigation - WorkdayBatchSync,C84649B,Minor,Done,2023-Jan-26 2:22 PM,2023-Feb-16 9:47 AM,46800,C84642B,Eforms-I9 P6 Sprint 1 - Yellow,8,EEEFI-189,,,
2734170,Sub-task,EEEFI-457,BA Demo,C86398B,Minor,Done,2023-Feb-06 9:27 AM,2023-Feb-10 11:05 AM,2700,C84777B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2685430,
2734169,Sub-task,EEEFI-456,QA Test Plan Review ,C84708B,Minor,Done,2023-Feb-06 9:27 AM,2023-Feb-14 3:13 PM,3600,C84777B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2685430,
2734168,Sub-task,EEEFI-455,QA Test Plan Create - Hawaii HW-6 (Rev 12/2022),C86398B,Minor,Done,2023-Feb-06 9:27 AM,2023-Feb-09 12:57 PM,3600,C84777B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2685430,
2734167,Sub-task,EEEFI-454,QA Testing - Hawaii HW-6 (Rev 12/2022),C86398B,Minor,Done,2023-Feb-06 9:27 AM,2023-Feb-10 10:14 AM,16200,C84777B,Eforms-I9 P6 Sprint 1 - Yellow,1,,,2685430,
2734166,Sub-task,EEEFI-453,Prod Review,C84708B,Minor,Done,2023-Feb-06 9:27 AM,2023-Feb-17 12:38 PM,3600,C84777B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2685430,
2734165,Sub-task,EEEFI-452,Dev ,C84671B,Minor,Done,2023-Feb-06 9:26 AM,2023-Feb-08 4:01 PM,21600,C84777B,Eforms-I9 P6 Sprint 1 - Yellow,,,,2685430,
